127.0.0.1 - - [08/Mar/2018:14:42:14 +0800] "GET / HTTP/1.1" 404 951
192.168.1.26 - - [08/Mar/2018:14:42:14 +0800] "GET /website/bisicmessage/authentication HTTP/1.1" 302 -
192.168.1.26 - - [08/Mar/2018:14:42:14 +0800] "GET /website/login?redirect_url=/bisicmessage/authentication HTTP/1.1" 200 97887
192.168.1.26 - - [08/Mar/2018:14:42:17 +0800] "GET /website/member/image HTTP/1.1" 200 712
192.168.1.26 - - [08/Mar/2018:14:42:17 +0800] "GET /website/member/image1 HTTP/1.1" 200 778
192.168.1.26 - - [08/Mar/2018:14:42:23 +0800] "GET /website/login HTTP/1.1" 200 97831
192.168.1.26 - - [08/Mar/2018:14:42:23 +0800] "GET /website/member/image1 HTTP/1.1" 200 811
192.168.1.26 - - [08/Mar/2018:14:42:23 +0800] "GET /website/member/image HTTP/1.1" 200 801
192.168.1.26 - - [08/Mar/2018:14:42:29 +0800] "POST /website/member/login HTTP/1.1" 200 65
192.168.1.26 - - [08/Mar/2018:14:42:29 +0800] "GET /website/index.html HTTP/1.1" 304 -
192.168.1.26 - - [08/Mar/2018:14:42:29 +0800] "GET /website/index HTTP/1.1" 200 151899
192.168.1.26 - - [08/Mar/2018:14:42:29 +0800] "POST /website/site/addSitestatistics HTTP/1.1" 200 5
192.168.1.26 - - [08/Mar/2018:14:42:31 +0800] "POST /website/pc/img/calendar HTTP/1.1" 200 421
192.168.1.26 - - [08/Mar/2018:14:42:31 +0800] "POST /website/homepage/piaojuzhishu HTTP/1.1" 200 82
192.168.1.26 - - [08/Mar/2018:14:42:31 +0800] "POST /website/homepage/xunjia/jixidate HTTP/1.1" 200 32
192.168.1.26 - - [08/Mar/2018:14:42:31 +0800] "POST /website/homepage/xunjia/cityid HTTP/1.1" 200 3334
192.168.1.26 - - [08/Mar/2018:14:42:32 +0800] "POST /website/open/page HTTP/1.1" 200 33514
192.168.1.26 - - [08/Mar/2018:14:42:37 +0800] "POST /website/open/page HTTP/1.1" 200 33514
192.168.1.26 - - [08/Mar/2018:14:42:42 +0800] "POST /website/open/page HTTP/1.1" 200 33514
192.168.1.26 - - [08/Mar/2018:14:42:49 +0800] "GET /website/member/logout HTTP/1.1" 302 -
192.168.1.26 - - [08/Mar/2018:14:42:49 +0800] "GET /website/index HTTP/1.1" 200 151804
192.168.1.26 - - [08/Mar/2018:14:42:50 +0800] "POST /website/site/addSitestatistics HTTP/1.1" 200 5
