127.0.0.1 - - [02/Jan/2019:09:41:13 +0800] "GET / HTTP/1.1" 404 951
192.168.1.26 - - [02/Jan/2019:09:42:29 +0800] "GET /website/bisicmessage/authentication HTTP/1.1" 302 -
192.168.1.26 - - [02/Jan/2019:09:42:29 +0800] "GET /website/login?redirect_url=/bisicmessage/authentication HTTP/1.1" 200 110945
192.168.1.26 - - [02/Jan/2019:10:52:14 +0800] "GET /website/ HTTP/1.1" 200 65174
192.168.1.26 - - [02/Jan/2019:10:52:14 +0800] "GET /website/img/Parallax.jpg HTTP/1.1" 404 999
192.168.1.26 - - [02/Jan/2019:10:57:12 +0800] "GET /website/ HTTP/1.1" 200 64490
192.168.1.26 - - [02/Jan/2019:10:57:12 +0800] "GET /website/img/banner-mtjy.png HTTP/1.1" 404 1005
192.168.1.26 - - [02/Jan/2019:10:57:14 +0800] "GET /website/ HTTP/1.1" 200 64490
192.168.1.26 - - [02/Jan/2019:10:57:14 +0800] "GET /website/img/banner-mtjy.png HTTP/1.1" 404 1005
192.168.1.26 - - [02/Jan/2019:10:57:16 +0800] "GET /website/ HTTP/1.1" 200 64490
192.168.1.26 - - [02/Jan/2019:10:57:16 +0800] "GET /website/img/banner-mtjy.png HTTP/1.1" 404 1005
192.168.1.26 - - [02/Jan/2019:10:57:18 +0800] "GET /website/ HTTP/1.1" 200 64490
192.168.1.26 - - [02/Jan/2019:10:57:18 +0800] "GET /website/img/banner-mtjy.png HTTP/1.1" 404 1005
192.168.1.26 - - [02/Jan/2019:10:58:33 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:58:35 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:58:36 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:59:40 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:59:41 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:59:43 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:59:44 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:10:59:45 +0800] "GET /website/ HTTP/1.1" 200 64527
192.168.1.26 - - [02/Jan/2019:11:02:33 +0800] "GET /website/ HTTP/1.1" 200 64582
192.168.1.26 - - [02/Jan/2019:11:02:38 +0800] "GET /website/ HTTP/1.1" 200 64582
192.168.1.26 - - [02/Jan/2019:11:03:14 +0800] "GET /website/ HTTP/1.1" 200 64593
192.168.1.26 - - [02/Jan/2019:11:03:15 +0800] "GET /website/ HTTP/1.1" 200 64593
192.168.1.26 - - [02/Jan/2019:11:03:56 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:04:27 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:04:30 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:04:45 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:04:47 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:07:35 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:07:36 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:12:06 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:12:18 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:15:00 +0800] "GET /website/ HTTP/1.1" 200 64594
192.168.1.26 - - [02/Jan/2019:11:15:17 +0800] "GET /website/ HTTP/1.1" 200 64594
